research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,RELATIVE_ALIGNED,1092,1067,525,542,7,18,49.203373945641985,44.23076923076923,1.293008128313613,1.2958602969355557,0.9201408038292492,0.9556011627768961,112,156,BEAR,directional_stock_vs_market_avg_1d_pct
DISCOVERY,RELATIVE_OPPOSING,999,975,495,480,4,20,50.76923076923077,47.347347347347345,1.3464578547739454,1.2239088797294493,0.9554957034757016,0.8651999467569393,111,156,BEAR,directional_stock_vs_market_avg_1d_pct
DISCOVERY,UNKNOWN,30,30,7,23,0,0,23.333333333333332,30.0,0.44763788839659735,1.7854040854650173,0.2624971837340436,1.5405404630292483,28,2,BEAR,directional_stock_vs_market_avg_1d_pct
DISCOVERY,RELATIVE_ALIGNED,1047,1025,524,501,2,20,51.1219512195122,46.99140401146132,1.2403185012835782,1.266414005095392,0.8859891853468945,0.9195634599838285,112,156,BULL,directional_stock_vs_market_avg_1d_pct
DISCOVERY,RELATIVE_OPPOSING,982,959,512,447,1,22,53.38894681960375,46.84317718940937,1.3042186472239499,1.1791448348405311,0.9236491522306172,0.8020041776886097,112,155,BULL,directional_stock_vs_market_avg_1d_pct
DISCOVERY,UNKNOWN,23,22,17,5,0,1,77.27272727272727,60.869565217391305,1.3509989250739065,0.5049046102475664,1.1950294790640286,0.2676087242726147,23,2,BULL,directional_stock_vs_market_avg_1d_pct
VALIDATION,RELATIVE_ALIGNED,1073,1055,540,515,11,7,51.18483412322275,48.089468779123955,1.6351049782609357,1.5708406238298556,1.1824349911638419,1.151461470327721,112,158,BEAR,directional_stock_vs_market_avg_1d_pct
VALIDATION,RELATIVE_OPPOSING,943,922,454,468,13,8,49.240780911062906,47.720042417815485,1.6349807135847938,1.5342592782771558,1.1554088369730964,1.068396451397505,112,156,BEAR,directional_stock_vs_market_avg_1d_pct
VALIDATION,RELATIVE_ALIGNED,1074,1048,507,541,21,5,48.37786259541985,48.13780260707635,1.687127217352266,1.5375446128148815,1.1708459473353499,1.120868887468892,112,157,BULL,directional_stock_vs_market_avg_1d_pct
VALIDATION,RELATIVE_OPPOSING,1044,1015,497,518,22,7,48.96551724137931,45.593869731800766,1.7196620831858542,1.5607050119582904,1.1740052489634158,1.124020754218889,112,156,BULL,directional_stock_vs_market_avg_1d_pct
DISCOVERY,FLAT,45,26,16,10,0,19,61.53846153846154,53.333333333333336,0.39610488236086433,0.4427270023475154,0.33399808680708515,0.26677128285602913,1,45,ALL,directional_stock_vs_spy_5d_pct
DISCOVERY,RELATIVE_ALIGNED,2018,1987,978,1009,5,26,49.21992954202315,44.15262636273538,1.300684565598674,1.2687970139786329,0.9035065769463342,0.9114160474636441,111,152,ALL,directional_stock_vs_spy_5d_pct
DISCOVERY,RELATIVE_OPPOSING,1967,1924,995,929,9,34,51.71517671517672,47.22928317234367,1.3026726703681264,1.2496345947038343,0.9419309584648508,0.8784313725490208,111,152,ALL,directional_stock_vs_spy_5d_pct
DISCOVERY,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,ALL,directional_stock_vs_spy_5d_pct
VALIDATION,FLAT,65,52,22,30,0,13,42.30769230769231,52.30769230769231,0.5110524778931913,0.5259956156439557,0.43177200299431934,0.46506851324784476,1,65,ALL,directional_stock_vs_spy_5d_pct
VALIDATION,RELATIVE_ALIGNED,2008,1965,983,982,35,8,50.025445292620866,47.70916334661354,1.726479874374234,1.571787126675613,1.2143163777503545,1.1332862892690974,111,159,ALL,directional_stock_vs_spy_5d_pct
VALIDATION,RELATIVE_OPPOSING,2061,2023,993,1030,32,6,49.085516559565,46.918971373119845,1.6514149937216356,1.5636483115239899,1.1770096509063874,1.1378848728246314,111,159,ALL,directional_stock_vs_spy_5d_pct
DISCOVERY,FLAT,24,11,8,3,0,13,72.72727272727273,62.5,0.39440132178089665,0.37230205954123763,0.3448188487435645,0.26255846844537367,1,24,BEAR,directional_stock_vs_spy_5d_pct
DISCOVERY,RELATIVE_ALIGNED,1018,1001,480,521,4,13,47.952047952047955,42.82907662082515,1.2822487626488248,1.2689633486340215,0.9194915084461865,0.9161658140398841,111,152,BEAR,directional_stock_vs_spy_5d_pct
DISCOVERY,RELATIVE_OPPOSING,994,975,488,487,7,12,50.05128205128205,46.37826961770624,1.3695720910922637,1.3042192757756068,0.9534976999779095,0.9364679172110372,111,151,BEAR,directional_stock_vs_spy_5d_pct
DISCOVERY,UNKNOWN,85,85,51,34,0,0,60.0,62.35294117647059,1.1100691652303463,1.1081486965637677,0.8330600196785714,0.9782391694948989,64,6,BEAR,directional_stock_vs_spy_5d_pct
DISCOVERY,FLAT,21,15,8,7,0,6,53.333333333333336,42.857142857142854,0.3980518087379703,0.5232126512689754,0.33399808680708515,0.3164127830764397,1,21,BULL,directional_stock_vs_spy_5d_pct
DISCOVERY,RELATIVE_ALIGNED,1000,986,498,488,1,13,50.50709939148073,45.5,1.3194522130016209,1.2686276852994474,0.8943523131108723,0.9043780134089323,110,151,BULL,directional_stock_vs_spy_5d_pct
DISCOVERY,RELATIVE_OPPOSING,973,949,507,442,2,22,53.42465753424658,48.098663926002054,1.2343293772542592,1.1938718269902253,0.9176316364430731,0.8217748597765185,111,151,BULL,directional_stock_vs_spy_5d_pct
DISCOVERY,UNKNOWN,58,56,40,16,0,2,71.42857142857143,58.62068965517241,1.4071615972588365,0.9347596301101113,1.2087938245852592,0.45958900428979943,37,6,BULL,directional_stock_vs_spy_5d_pct
