symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
XOM,2,2,1,1,0,0,50.0,50.0,1.0681093740989307,0.5075668620023964,1.0681093740989307,0.5075668620023964,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
AAPL,12,11,5,6,0,1,45.45454545454545,50.0,0.8449219414337485,0.8019696529982189,0.6695003844948919,0.8158607347851501,1,12,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ABBV,4,4,4,0,0,0,100.0,75.0,1.2210807093283171,0.613930446426665,1.2635896039450691,0.6020395696882466,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ABNB,4,4,3,1,0,0,75.0,75.0,1.2715747795891696,1.986868198306697,1.1347984449682271,1.3091984062512034,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ADBE,3,2,1,1,1,0,50.0,66.66666666666667,2.419208310608053,1.0780187451385148,2.120283086444508,1.416099360806524,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
AMAT,2,2,1,1,0,0,50.0,50.0,2.0387358884777886,1.234123136766299,2.0387358884777886,1.234123136766299,1,2,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
AMD,8,8,3,5,0,0,37.5,50.0,1.3686513293722982,2.001660044013942,0.9361500779268779,1.895501467564123,1,8,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
AMGN,4,4,1,3,0,0,25.0,0.0,1.0714444992171344,1.8479532176646845,0.8234017601443766,2.0503226142185005,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
AMZN,7,7,3,4,0,0,42.857142857142854,28.571428571428573,0.8878148500607613,1.1535351724427823,0.8931458131264176,0.8446087940510832,1,7,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ANET,12,12,8,4,0,0,66.66666666666667,75.0,2.1205363878270562,1.6143185439849992,1.7992550550420314,1.473108925565237,1,12,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
APP,12,12,9,3,0,0,75.0,58.333333333333336,3.463131972739267,1.8802812220125091,2.5413489709365926,0.9007167665811325,1,12,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ARM,4,3,1,2,1,0,33.333333333333336,75.0,3.136585539679915,2.674484751509578,3.1795823806366528,1.787338193582431,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ASML,3,3,3,0,0,0,100.0,33.333333333333336,1.7194251038331558,0.9863613590120875,1.9134025822871759,0.4772727272727266,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
