research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,OPPOSING,232,228,112,116,0,4,49.12280701754386,111,47.8448275862069,1.179033331590639,1.1772707551780786,0.7827829007460023,0.8455638989465226,100,123,BEAR,price_vs_ema20_ok
DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR,price_vs_ema20_ok
DISCOVERY,FAVORABLE,1834,1798,952,846,2,34,52.947719688542826,863,47.0556161395856,1.296262874107017,1.2226005644344253,0.9180980142769741,0.8504586863220727,112,158,BULL,price_vs_ema20_ok
DISCOVERY,OPPOSING,215,205,99,106,1,9,48.292682926829265,102,47.44186046511628,1.0690375609890876,1.1722264452969327,0.7508088338725527,0.7982583454281732,91,112,BULL,price_vs_ema20_ok
DISCOVERY,UNKNOWN,3,3,2,1,0,0,66.66666666666667,1,33.333333333333336,1.0799903232005652,0.3967920907984251,1.4438056786764348,0.2676087242726147,3,1,BULL,price_vs_ema20_ok
VALIDATION,FAVORABLE,1823,1787,910,877,22,14,50.923335198656964,870,47.723532638507955,1.6719922171143091,1.557488471971673,1.1943013034252798,1.1261241007194278,112,159,BEAR,price_vs_ema20_ok
VALIDATION,OPPOSING,193,190,84,106,2,1,44.21052631578947,96,49.740932642487046,1.2860758693526382,1.5182228206240047,0.9457112654787057,1.0326958207508412,89,106,BEAR,price_vs_ema20_ok
VALIDATION,FAVORABLE,1908,1858,913,945,40,10,49.13885898815931,896,46.9601677148847,1.7467929324603253,1.5479249839133056,1.2160010319418761,1.1026866466727827,112,159,BULL,price_vs_ema20_ok
VALIDATION,OPPOSING,210,205,91,114,3,2,44.390243902439025,97,46.19047619047619,1.3067663388003097,1.5583717968621473,0.8987726541975756,1.223685072543052,96,104,BULL,price_vs_ema20_ok
DISCOVERY,FAVORABLE,3560,3485,1793,1692,13,62,51.449067431850786,1645,46.20786516853933,1.3211741121908382,1.2592773459851236,0.9451023457625536,0.8906585456017251,112,158,ALL,price_vs_sma50_ok
DISCOVERY,OPPOSING,602,582,283,299,1,19,48.6254295532646,282,46.84385382059801,1.1139007452002836,1.152529890975248,0.7527160895143995,0.8289743747390781,111,156,ALL,price_vs_sma50_ok
DISCOVERY,UNKNOWN,11,11,4,7,0,0,36.36363636363637,4,36.36363636363637,0.6351344885550589,0.9040626161026197,0.21525946997328796,0.6981896498459819,11,1,ALL,price_vs_sma50_ok
