symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,c1_close,c2_close,c1_volume,c2_volume,opening_2m_volume,entry_price,opening_2m_rvol_20d,a49_opening_2m_dollar_activity,a49_log10_opening_2m_dollar_activity,a49_log10_entry_price
UNH,2026-07-17,BULL,AE2_RECLAIM,2,2026-07-17 13:31:00+00:00,427.51,430.555,428735.510311,75551.795535,504287.305846,430.555,4.48474131579705,215817921.3396275,8.334087505294747,2.634028637022666
UNH,2026-07-22,BEAR,AE2_RECLAIM,2,2026-07-22 13:31:00+00:00,434.06,434.3,103783.351014,9259.495817,113042.846831,434.3,1.0456269751223164,49069600.374459945,7.6908125210770315,2.6377898293622293
UNH,2026-07-27,BEAR,AE2_RECLAIM,2,2026-07-27 13:31:00+00:00,419.16,419.1,60350.642736,21357.399538,81708.042274,419.1,0.8307233374915646,34247461.55559756,7.534628386828383,2.6223176608338443
UNH,2026-07-29,BULL,AE2_RECLAIM,2,2026-07-29 13:31:00+00:00,429.55,430.6,71813.305591,13830.91942,85644.225011,430.6,0.8995652141174187,36802999.31886605,7.565883213634206,2.6340740254874686
UNH,2026-07-31,BEAR,AE2_RECLAIM,2,2026-07-31 13:31:00+00:00,420.36,420.035,59939.810961,8338.33001,68278.140971,420.035,0.751338451229465,28698689.38131631,7.457862063721482,2.6232854800968424
UNH,2026-08-07,BULL,AE2_RECLAIM,2,2026-08-07 13:31:00+00:00,402.39,402.62,63479.579172,9925.290373,73404.869545,402.62,0.8509395181473891,29539668.27299834,7.470405613927344,2.6048953445066854
UNH,2026-08-11,BULL,AE2_RECLAIM,2,2026-08-11 13:31:00+00:00,409.825,410.025,38255.675853,7210.559326,45466.235179,410.025,0.4977776026881726,18634641.944098875,7.27032105240534,2.6128103372832574
UNH,2026-08-12,BULL,AE2_RECLAIM,2,2026-08-12 13:31:00+00:00,401.4,402.43,58956.928645,7600.632142,66557.560787,402.43,0.771562691361164,26724033.55100806,7.426902008322215,2.6046903486602315
UNH,2026-08-13,BULL,AE2_RECLAIM,2,2026-08-13 13:31:00+00:00,405.935,406.0,37961.594663,11652.632095,49614.226758000004,406.0,0.5892749914250967,20140908.560094908,7.3040790577635635,2.6085260335771943
UNH,2026-08-19,BULL,AE2_RECLAIM,2,2026-08-19 13:31:00+00:00,395.92,396.69,79725.300676,18470.381873,98195.68254899999,396.69,1.189704145474734,38891856.82884229,7.589858678330524,2.598451252655753
