name,kind,size_bytes,sha256,project,action,destination,reason,duplicate_of,applied,note
build_a51_retained_v2_evidence_matrix_v4.py,file,5021,20e9aa6443736cc4bfeebc629094382c8ce199b8c7400bd8627777319e210909,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a51_retained_v2_evidence_matrix_v4.py,Source move may break paths/imports; review first,,False,
build_a52_predeclared_v2_architecture_v1.py,file,4904,1a35e54ec06e74824662fc3eb31b254ac4adec16e2db7f66da4deeaf5e1b658b,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a52_predeclared_v2_architecture_v1.py,Source move may break paths/imports; review first,,False,
build_a53_candidate_model_v2_prospective_protocol_v1.py,file,5061,e4bf78d9456c675d2419d145b8084dac7d103ac2caf1cd3f16118b6f435c9cf4,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a53_candidate_model_v2_prospective_protocol_v1.py,Source move may break paths/imports; review first,,False,
build_a56_1e_ae2_parity_test_set_v1.py,file,4744,ec6f7c1cc00a1268e24262d50bca7efa1d402c1e40a6b0de1c5b95bf34f2e06c,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\build_a56_1e_ae2_parity_test_set_v1.py,Source move may break paths/imports; review first,,False,
certify_9m_2026_timestamp_coverage.py,file,6075,b52c8a658b267749f3bef129c3c1f5fcbd360b6574eef1d5ad1670585d84e484,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_9m_2026_timestamp_coverage.py,Source move may break paths/imports; review first,,False,
certify_9n_v4_engine_semantics_v2.py,file,4460,2e4400db49040c59d3813329c9137bcfc78e9027b29623129bf4887db5f78ed9,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_9n_v4_engine_semantics_v2.py,Source move may break paths/imports; review first,,False,
certify_9n_v4_reconstruction_static_v1.py,file,1980,4651c6c0c845a7b3d211bebb7ff4f6c46f3d019f1ba75dd06719a6ee643b6f12,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_9n_v4_reconstruction_static_v1.py,Source move may break paths/imports; review first,,False,
certify_existing_v2.ps1,file,6042,3bab2288647007f270bd470e62ba6f3de03c14625b5471da57281cfa87989e46,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_existing_v2.ps1,Source move may break paths/imports; review first,,False,
certify_existing_v2.py,file,5126,37dccf44aa6f31a0d5f9018d0db2c0f989d9cd84d35595715aab9359f4805628,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_existing_v2.py,Source move may break paths/imports; review first,,False,
certify_existing_v2_v2.py,file,7713,7776ba8e664f261db15bbf099b47df8adf4f33587bb90d660b73f077382035e7,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_existing_v2_v2.py,Source move may break paths/imports; review first,,False,
certify_v2_full50.py,file,10509,0e1c8de64c3d95c78584d252de49f232cf55d0ba823ca1cbc7e65a03024c7fee,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_v2_full50.py,Source move may break paths/imports; review first,,False,
certify_v2_outcome_independence.py,file,7799,9b69f03249e2a44eb14090f7e02af9faae053dafc1353002c703585fba0f3624,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\certify_v2_outcome_independence.py,Source move may break paths/imports; review first,,False,
cleanup_reports,dir,0,,other,REVIEW,,Unclassified directory,,False,
cleanup_tradingresearch_root.py,file,8550,9acb400f62e817cd06eac5a306547e554bff69266325dbeecfae852d7184e656,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\cleanup_tradingresearch_root.py,Source move may break paths/imports; review first,,False,
config,dir,0,,core,KEEP_ROOT,,Core directory,,False,
data,dir,0,,core,KEEP_ROOT,,Core directory,,False,
derive_and_certify_dp4_structural_clearance.py,file,7512,383a1f5fc98222685f9d271c6c5e34ed4da841a2346639a8743b38437d46da30,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\derive_and_certify_dp4_structural_clearance.py,Source move may break paths/imports; review first,,False,
