feature,direction,bucket,n,c3_confirmed_n,c3_confirmation_pct,binary_n,favorable_first_pct,avg_feature_value,median_feature_value
clv_change_pp,BEAR,"(-3.5, 7.118]",824,356,43.20388349514563,802,48.6284289276808,1.4738407380431386,0.9399995411436777
clv_change_pp,BEAR,"(7.118, 20.633]",827,383,46.31197097944377,810,50.0,13.720201856218,13.71245949134574
clv_change_pp,BEAR,"(20.633, 50.0]",815,361,44.29447852760736,798,48.24561403508772,31.870457224037136,30.58098742192137
clv_change_pp,BULL,"(-85.54400000000001, -19.305]",841,425,50.535077288941736,822,50.12165450121655,-34.78399911641365,-31.796047988708196
clv_change_pp,BULL,"(-19.305, -3.5]",811,405,49.9383477188656,785,53.12101910828026,-10.783358570141127,-10.188011501879544
clv_change_pp,BULL,"(-3.5, 7.118]",837,377,45.04181600955795,814,50.85995085995086,1.4346817233047229,0.5987941901847051
clv_change_pp,BULL,"(7.118, 20.633]",834,372,44.60431654676259,817,50.18359853121175,13.3754324915175,13.220542387402563
clv_change_pp,BULL,"(20.633, 50.0]",847,380,44.8642266824085,831,48.616125150421176,31.44876679802005,29.88547317661493
vwap_distance_change_pp,BEAR,"(-0.477, 0.0175]",845,384,45.44378698224852,817,48.225214198286416,-0.03823668734672334,-0.01910506025514236
vwap_distance_change_pp,BEAR,"(0.0175, 0.0869]",827,403,48.73035066505442,801,51.5605493133583,0.05094367023403447,0.04994977236003617
vwap_distance_change_pp,BEAR,"(0.0869, 0.18]",833,370,44.41776710684274,826,51.210653753026634,0.12976580393992723,0.1272411128461104
vwap_distance_change_pp,BEAR,"(0.18, 0.343]",820,403,49.146341463414636,813,50.79950799507995,0.2521092891830014,0.24723818692674038
vwap_distance_change_pp,BEAR,"(0.343, 2.836]",812,371,45.689655172413794,792,47.72727272727273,0.5980153111871798,0.5094928547584532
vwap_distance_change_pp,BULL,"(-0.477, 0.0175]",817,393,48.10281517747858,791,50.821744627054365,-0.03809215137771948,-0.018366068224606735
vwap_distance_change_pp,BULL,"(0.0175, 0.0869]",834,386,46.28297362110312,812,50.61576354679803,0.05051943809320762,0.049174928458273204
vwap_distance_change_pp,BULL,"(0.0869, 0.18]",828,395,47.70531400966183,813,51.90651906519065,0.12973952180602744,0.12717763069109989
vwap_distance_change_pp,BULL,"(0.18, 0.343]",841,399,47.44351961950059,830,52.28915662650602,0.2506457767147756,0.2445617328654226
vwap_distance_change_pp,BULL,"(0.343, 2.836]",850,386,45.411764705882355,823,47.14459295261239,0.591546349388549,0.5136838020533885
