warning_feature,warning_state,context_feature,context_state,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_c4_state,C3_C4_ADVERSE,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION_OLDER,163,162,26,136,1,0,16.049382716049383,1.167106988589577,1.9710450389217025,0.7554296506137896,1.331706821185323,90,16
warning_c3_c4_state,C3_C4_ADVERSE,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION_NEWER,164,161,19,142,1,2,11.801242236024844,1.1320447583758155,1.8751848802378446,0.6685349443008995,1.5732222463626075,85,17
warning_c3_c4_state,C3_C4_ADVERSE,weekday,WEDNESDAY,RESCUE_CONTEXT,VALIDATION_OLDER,156,156,25,131,0,0,16.025641025641026,1.2414497085510778,1.7473542585947548,0.8529045244971576,1.320114869443287,86,16
warning_c3_c4_state,C3_C4_ADVERSE,weekday,WEDNESDAY,RESCUE_CONTEXT,VALIDATION_NEWER,179,173,31,142,3,3,17.91907514450867,1.4567270641565013,1.9008163610220263,1.054292619706475,1.6538517336428062,87,17
warning_fast_recovery_state,RECOVERED_IN_1_BAR,market_prior_5d_consensus,CONSENSUS_ALIGNED,ESCALATION_CONTEXT,VALIDATION_OLDER,171,168,102,66,3,0,60.714285714285715,1.7494705089404787,1.384127027626701,1.2972119515760374,0.843305082963553,90,62
warning_fast_recovery_state,RECOVERED_IN_1_BAR,market_prior_5d_consensus,CONSENSUS_ALIGNED,ESCALATION_CONTEXT,VALIDATION_NEWER,202,193,106,87,5,4,54.92227979274612,1.876274332365162,1.3393560356667407,1.2012773260246323,0.9381982411779015,100,69
warning_fast_recovery_state,RECOVERED_IN_1_BAR,market_prior_5d_consensus,CONSENSUS_OPPOSING,RESCUE_CONTEXT,VALIDATION_OLDER,172,168,112,56,3,1,66.66666666666667,1.835895034319203,1.2329116448503965,1.3648832171353158,0.8260131950314764,89,68
warning_fast_recovery_state,RECOVERED_IN_1_BAR,market_prior_5d_consensus,CONSENSUS_OPPOSING,RESCUE_CONTEXT,VALIDATION_NEWER,162,157,116,41,4,1,73.88535031847134,2.155069597070802,1.4045197487470304,1.7406108436222285,0.7982286703566182,78,65
warning_fast_recovery_state,RECOVERED_IN_1_BAR,positive_candidate_state,OTHER,ESCALATION_CONTEXT,VALIDATION_OLDER,305,299,191,108,5,1,63.87959866220736,1.712912027353282,1.2737715252435018,1.32002779005874,0.7733608306073144,102,77
warning_fast_recovery_state,RECOVERED_IN_1_BAR,positive_candidate_state,OTHER,ESCALATION_CONTEXT,VALIDATION_NEWER,332,320,191,129,7,5,59.6875,1.8879735303489533,1.3476384425115648,1.3261814137642436,0.8992510860899077,105,80
