symbol,trend_5d_binary_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
CVS,ALIGNED,32,32,23,9,0,0,71.875,14,43.75,1.6792856172848567,0.8290314206199816,1.3459437603812283,0.4453188862752987,1,32
CVS,OPPOSING,38,37,16,21,1,0,43.24324324324324,14,36.8421052631579,0.9982835936293496,1.230542310526878,0.7458132795781278,1.1988391433339252,1,38
CVS,UNKNOWN,1,1,0,1,0,0,0.0,1,100.0,0.49607937269963553,3.3285325652104194,0.49607937269963553,3.3285325652104194,1,1
CVX,ALIGNED,32,31,15,16,0,1,48.38709677419355,12,37.5,0.7642839421722274,1.0292242495468693,0.6843315543529205,0.7609176689320949,1,32
CVX,OPPOSING,45,44,20,24,0,1,45.45454545454545,19,42.22222222222222,0.9398505388640569,0.9039097150891314,0.7369432874078856,0.7785955712796617,1,45
CVX,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,1.9597923854427064,0.0926489356935391,1.9597923854427064,0.0926489356935391,1,1
DASH,ALIGNED,31,31,12,19,0,0,38.70967741935484,13,41.935483870967744,1.805220945146739,1.828364001308523,1.3560540648185186,1.2242042672263078,1,31
DASH,OPPOSING,43,42,24,18,1,0,57.142857142857146,21,48.83720930232558,1.8130471653798395,2.0840821594857113,1.1402572600123633,1.6387924687072606,1,43
DASH,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,2.724755231330391,0.05279324246495739,2.724755231330391,0.05279324246495739,1,1
DDOG,ALIGNED,35,35,17,18,0,0,48.57142857142857,19,54.285714285714285,2.3044748378856434,2.3259172532017964,2.0443714050945037,1.5473887814313392,1,35
DDOG,OPPOSING,44,42,29,13,2,0,69.04761904761905,25,56.81818181818182,1.9904194800720076,2.127009769744199,1.3918063108031082,1.9703161797823192,1,44
DDOG,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,1.0781948645647461,1.3767701788619593,1.294026908903938,1.2940269089039258,1,3
DE,ALIGNED,21,21,7,14,0,0,33.333333333333336,4,19.047619047619047,1.5195117960437576,1.248383878782743,1.2638755353552844,1.1633910439541513,1,21
DE,OPPOSING,17,17,6,11,0,0,35.294117647058826,3,17.647058823529413,1.1486996193967505,1.1571109916123292,0.9710879436725025,1.0136226806578406,1,17
DELL,ALIGNED,52,49,22,27,3,0,44.89795918367347,27,51.92307692307692,2.6333787952414927,2.1088147415622926,1.7980410529296753,1.827325157317548,1,52
DELL,OPPOSING,42,41,22,19,1,0,53.65853658536585,21,50.0,2.5119051209543892,1.643525014696163,1.4783821095953154,1.2497318004939606,1,42
DELL,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.0,3.4946730345334376,0.0,3.4946730345334376,1,1
DIS,ALIGNED,41,40,22,18,1,0,55.0,24,58.53658536585366,0.8620036096456221,0.8336817334078754,0.7426477869095951,0.6528497409326378,1,41
DIS,OPPOSING,40,40,23,17,0,0,57.5,20,50.0,0.9104839453300508,0.9672515663027866,0.8282449318018703,0.6951307455154376,1,40
DIS,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.0,1.3594819271574923,0.0,1.3594819271574923,1,1
EOG,ALIGNED,29,29,14,15,0,0,48.275862068965516,10,34.48275862068966,0.8975025960885737,1.24367631031554,0.8444610840717173,0.9251794694613874,1,29
EOG,OPPOSING,11,11,7,4,0,0,63.63636363636363,4,36.36363636363637,0.9137416479508986,1.7089764492691017,0.89830568931692,1.7609618104667675,1,11
EOG,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,1.8021232937817915,0.20073155500044101,1.8021232937817915,0.20073155500044101,1,1
ETN,ALIGNED,26,26,10,16,0,0,38.46153846153846,16,61.53846153846154,1.732333613452367,1.4314486171254144,1.050510288725337,1.145061641113024,1,26
ETN,OPPOSING,23,22,12,10,0,1,54.54545454545455,14,60.869565217391305,1.5649985316550925,1.0733204920756227,1.253256008256751,0.7789140909177463,1,23
ETN,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,1.5288098428554144,0.04263613107564452,1.5288098428554144,0.04263613107564452,1,1
