feature,quarter,state,share_of_quarter_binary_pct,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
exhaustion_state,2025Q4,NONE,48.90510948905109,67,67,46,21,68.65671641791045,1.2770852286841738,1.2653139202808183,1.0998277594373467,0.8746932992984828,50,34
exhaustion_state,2025Q4,ONE,17.51824817518248,24,24,17,7,70.83333333333333,1.086517134792368,1.1950173126758428,1.0076007479441536,0.7164517551507318,22,14
exhaustion_state,2026Q1,MULTIPLE,45.142857142857146,79,79,48,31,60.75949367088607,2.288828217145357,1.3379874115240116,1.8430034129692838,0.9875032771126413,58,32
exhaustion_state,2026Q1,NONE,38.285714285714285,67,67,43,24,64.17910447761194,1.8328903804272079,1.1054069294284858,1.4812202433433193,0.7300132729686098,50,29
exhaustion_state,2026Q1,ONE,16.571428571428573,29,29,16,13,55.172413793103445,2.074544402816069,1.2234593595754673,1.7726224486283808,0.9515435103476524,28,22
exhaustion_state,2026Q2,MULTIPLE,46.25,74,74,36,38,48.648648648648646,1.9562220752728614,1.5669606486610472,1.641302699433774,1.3124637869198503,45,35
exhaustion_state,2026Q2,NONE,35.625,57,57,35,22,61.40350877192982,1.451190407529022,1.183752760003659,1.0396151486778895,0.9353443236291327,41,33
exhaustion_state,2026Q2,ONE,18.125,29,29,19,10,65.51724137931035,2.1500096554140202,1.185036456152842,1.8806894320964804,0.6447701972886517,26,21
exhaustion_state,2026Q3,MULTIPLE,44.943820224719104,40,40,26,14,65.0,2.257207385985582,2.5999584144310877,1.8030041473582563,1.6449075070604402,33,25
exhaustion_state,2026Q3,NONE,33.70786516853933,30,30,14,16,46.666666666666664,1.5362867316588396,1.2474945625984486,1.2099174648855553,1.1408552824784168,28,20
exhaustion_state,2026Q3,ONE,21.348314606741575,19,19,13,6,68.42105263157895,1.6768676060688033,2.4158431477952718,1.1728367274150089,0.9545494351519428,17,13
