time,open,high,low,close,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_host_seconds,EXP_ltf_bars_in_host,DIAG_first_1m_time_seen,DIAG_last_1m_time_seen,DIAG_1m_bars_processed,DIAG_1m_intrabar_count,1M breakout found,Volume,Volume MA
1787672760,211.15,211.2,211.12,211.12,,,,,,,,,,1784554200000,1787672760000,10277,1,0,9515,23091
1787672820,211.12,211.15,211.04,211.04,,,,,,,,,,1784554200000,1787672820000,10278,1,0,13848,21671.3
1787672880,211.05,211.11,210.98,210.98,,,,,,,,,,1784554200000,1787672880000,10279,1,0,23594,21547.05
1787672940,210.975,211.01,210.89,210.95,,,,,,,,,,1784554200000,1787672940000,10280,1,0,22439,21521.95
1787673000,210.95,211.11,210.89,211.1,,,,,,,,,,1784554200000,1787673000000,10281,1,0,15541,21190.05
1787673060,211.105,211.235,211.1,211.22,,,,,,,,,,1784554200000,1787673060000,10282,1,0,9935,20901.65
1787673120,211.21,211.27,211.16,211.23,,,,,,,,,,1784554200000,1787673120000,10283,1,0,6928,20479.5
1787673180,211.24,211.31,211.22,211.22,,,,,,,,,,1784554200000,1787673180000,10284,1,0,13425,19436.95
1787673240,211.22,211.22,211.09,211.13,,,,,,,,,,1784554200000,1787673240000,10285,1,0,8913,18824.85
1787673300,211.14,211.24,211.13,211.21,,,,,,,,,,1784554200000,1787673300000,10286,1,0,9026,15101.45
1787673360,211.22,211.36,211.215,211.35,,,,,,,,,,1784554200000,1787673360000,10287,1,0,11957,14925.1
1787673420,211.36,211.55,211.32,211.55,,,,,,,,,,1784554200000,1787673420000,10288,1,0,19330,15332.85
1787673480,211.55,211.77,211.55,211.77,,,,,,,,,,1784554200000,1787673480000,10289,1,0,35025,16445.1
1787673540,211.77,211.85,211.61,211.64,,,,,,,,,,1784554200000,1787673540000,10290,1,0,21927,16875.15
1787673600,211.63,211.72,211.45,211.55,,,,,,,,,,1784554200000,1787673600000,10291,1,0,21427,17189.45
1787673660,211.56,211.8,211.52,211.755,,,,,,,,,,1784554200000,1787673660000,10292,1,0,18227,17464.6
1787673720,211.76,211.87,211.76,211.8,,,,,,,,,,1784554200000,1787673720000,10293,1,0,13761,16874.65
1787673780,211.8,211.88,211.79,211.88,,,,,,,,,,1784554200000,1787673780000,10294,1,0,10491,16305.4
1787673840,211.87,211.88,211.66,211.69,,,,,,,,,,1784554200000,1787673840000,10295,1,0,15160,16310.75
1787673900,211.69,211.72,211.63,211.66,,,,,,,,,,1784554200000,1787673900000,10296,1,0,11984,15622.65
1787673960,211.67,211.825,211.61,211.61,,,,,,,,,,1784554200000,1787673960000,10297,1,0,13070,15800.4
1787674020,211.62,211.75,211.62,211.71,,,,,,,,,,1784554200000,1787674020000,10298,1,0,7719,15493.95
1787674080,211.71,211.77,211.675,211.7,,,,,,,,,,1784554200000,1787674080000,10299,1,0,11456,14887.05
1787674140,211.69,211.76,211.66,211.68,,,,,,,,,,1784554200000,1787674140000,10300,1,0,9937,14261.95
1787674200,211.69,211.87,211.69,211.82,,,,,,,,,,1784554200000,1787674200000,10301,1,0,8716,13920.7
1787674260,211.83,211.85,211.74,211.75,,,,,,,,,,1784554200000,1787674260000,10302,1,0,9053,13876.6
1787674320,211.745,211.81,211.73,211.81,,,,,,,,,,1784554200000,1787674320000,10303,1,0,4703,13765.35
1787674380,211.81,211.89,211.72,211.89,,,,,,,,,,1784554200000,1787674380000,10304,1,0,9268,13557.5
1787674440,211.89,211.92,211.81,211.87,,,,,,,,,,1784554200000,1787674440000,10305,1,0,14841,13853.9
1787674500,211.87,212.09,211.87,212.09,,,,,,,,,,1784554200000,1787674500000,10306,1,0,31503,14977.75
1787674560,212.085,212.15,212.065,212.08,,,,,,,,,,1784554200000,1787674560000,10307,1,0,17961,15277.95
1787674620,212.06,212.1,211.97,212.03,,,,,,,,,,1784554200000,1787674620000,10308,1,0,16964,15159.65
1787674680,212.04,212.14,212.04,212.08,,,,,,,,,,1784554200000,1787674680000,10309,1,0,13090,14062.9
1787674740,212.08,212.11,212.02,212.07,,,,,,,,,,1784554200000,1787674740000,10310,1,0,8727,13402.9
1787674800,212.09,212.09,211.97,212.06,,,,,,,,,,1784554200000,1787674800000,10311,1,0,9295,12796.3
1787674860,212.05,212.14,211.98,212.14,,,,,,,,,,1784554200000,1787674860000,10312,1,0,12815,12525.7
1787674920,212.13,212.24,212.08,212.1,,,,,,,,,,1784554200000,1787674920000,10313,1,0,20560,12865.65
1787674980,212.08,212.2,212.04,212.16,,,,,,,,,,1784554200000,1787674980000,10314,1,0,8928,12787.5
1787675040,212.14,212.19,212.03,212.03,,,,,,,,,,1784554200000,1787675040000,10315,1,0,11664,12612.7
1787675100,212.025,212.215,212.01,212.17,,,,,,,,,,1784554200000,1787675100000,10316,1,0,13893,12708.15
1787675160,212.18,212.26,212.16,212.24,,,,,,,,,,1784554200000,1787675160000,10317,1,0,13146,12711.95
1787675220,212.24,212.27,212.18,212.18,,,,,,,,,,1784554200000,1787675220000,10318,1,0,9453,12798.65
1787675280,212.19,212.28,212.17,212.19,,,,,,,,,,1784554200000,1787675280000,10319,1,0,11449,12798.3
