research_period,premarket_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,premarket_feature,context_feature
VALIDATION,GAP_AND_PM_OPPOSING,OTHER,1198,1166,551,615,16,16,47.25557461406518,46.82804674457429,1.5239193877330586,1.518536874116715,1.1009120049375651,1.077086118721587,112,158,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_AND_PM_OPPOSING,POSITIVE_CANDIDATE,275,272,153,119,2,1,56.25,52.72727272727273,2.0121366617394814,1.786834829020137,1.5092922016219885,1.4023897086874806,91,104,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_OPPOSING_PM_ALIGNED,OTHER,385,377,180,197,6,2,47.745358090185675,46.493506493506494,1.5656588320764417,1.440463267045097,1.0112006699466103,1.1257485029940162,110,130,gap_premarket_structure_state,positive_candidate_state
VALIDATION,GAP_OPPOSING_PM_ALIGNED,POSITIVE_CANDIDATE,86,83,44,39,3,0,53.01204819277108,52.325581395348834,2.3242575247282495,1.8844245734244915,1.8264550183762753,1.0251799743021572,53,57,gap_premarket_structure_state,positive_candidate_state
VALIDATION,MIXED_FLAT,OTHER,68,67,35,32,1,0,52.23880597014925,54.411764705882355,1.1833252009558268,1.1260264857860043,0.8415277373050558,0.9863423036912522,41,46,gap_premarket_structure_state,positive_candidate_state
VALIDATION,MIXED_FLAT,POSITIVE_CANDIDATE,10,10,7,3,0,0,70.0,60.0,2.1355285535804347,0.66458003081807,1.5350388517294504,0.4483369532454001,9,10,gap_premarket_structure_state,positive_candidate_state
VALIDATION,UNKNOWN,OTHER,19,19,9,10,0,0,47.36842105263158,42.10526315789474,1.2668910092563568,1.2812060060211572,1.093249617441522,0.9939083039435659,8,19,gap_premarket_structure_state,positive_candidate_state
VALIDATION,UNKNOWN,POSITIVE_CANDIDATE,2,2,0,2,0,0,0.0,0.0,0.8928571428571428,2.218412543327051,0.8928571428571428,2.218412543327051,1,2,gap_premarket_structure_state,positive_candidate_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,NEGATIVE_CANDIDATE,41,41,20,21,0,0,48.78048780487805,41.46341463414634,1.1838513482146602,0.8919491347079218,0.8156840297653225,0.7100304579009928,34,30,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,OTHER,489,477,265,212,1,11,55.55555555555556,47.034764826175866,1.3600557584154345,1.162556554035807,0.9853202846975103,0.750828500414259,108,145,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_AND_PM_ALIGNED,NEGATIVE_CANDIDATE,83,83,50,33,0,0,60.24096385542169,49.397590361445786,1.389800636946335,1.2515484314343681,1.2652115124589416,0.8974387955783681,53,50,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_AND_PM_ALIGNED,OTHER,1396,1370,700,670,8,18,51.09489051094891,45.12893982808023,1.3809287455407664,1.3370595647925347,0.9740953824130313,0.9554085250212092,111,156,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_AND_PM_OPPOSING,NEGATIVE_CANDIDATE,67,62,29,33,0,5,46.774193548387096,40.298507462686565,1.1655151672495108,1.0364442316155633,0.7094350728813399,0.69297861324625,45,48,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_AND_PM_OPPOSING,OTHER,1232,1200,604,596,2,30,50.333333333333336,49.83766233766234,1.2668899561883316,1.2078203873649163,0.9098235546024644,0.8321476393520868,111,157,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,NEGATIVE_CANDIDATE,24,22,15,7,0,2,68.18181818181819,50.0,1.2766569076967897,1.1058301793333927,0.822884205565136,0.4842950263519855,21,18,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,OTHER,571,556,282,274,1,14,50.719424460431654,45.53415061295972,1.2248404143427654,1.2241867987816448,0.8342194184517109,0.9233286582515101,110,151,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,MIXED_FLAT,NEGATIVE_CANDIDATE,10,10,7,3,0,0,70.0,30.0,1.2679513147497683,0.8459609958226066,0.9799661574352878,0.36138772800487584,9,9,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,MIXED_FLAT,OTHER,152,150,64,86,2,0,42.666666666666664,38.1578947368421,0.9785066390846847,1.2479610546708426,0.6093148558432615,0.8951168828910544,70,95,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,UNKNOWN,NEGATIVE_CANDIDATE,4,4,2,2,0,0,50.0,25.0,0.5190553461617924,0.8586813207708639,0.4531089125176725,0.6551952338403622,3,4,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,UNKNOWN,OTHER,104,103,42,61,0,1,40.77669902912621,36.53846153846154,0.8825873684947609,1.2183635618642816,0.5381319527756946,0.9510390108494198,51,62,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_ALIGNED_PM_OPPOSING,NEGATIVE_CANDIDATE,21,21,6,15,0,0,28.571428571428573,38.095238095238095,0.7355155906670755,1.3891776049553504,0.5093219919885257,1.229624438994278,20,18,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_ALIGNED_PM_OPPOSING,OTHER,412,403,206,197,9,0,51.116625310173696,44.66019417475728,1.7752252738710128,1.5624704854795242,1.172371119994589,1.1179538023841755,110,137,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_AND_PM_ALIGNED,NEGATIVE_CANDIDATE,101,100,42,58,1,0,42.0,37.62376237623762,1.3147477966584054,1.5499398785774625,1.0739359140667077,1.1774967291757505,60,54,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_AND_PM_ALIGNED,OTHER,1557,1520,765,755,29,8,50.328947368421055,48.04110468850353,1.7434760979733066,1.5699049281519364,1.2638755353552844,1.1308547840267262,112,159,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_AND_PM_OPPOSING,NEGATIVE_CANDIDATE,71,69,20,49,0,2,28.985507246376812,33.80281690140845,0.9807735834794801,1.3419397674896034,0.6126570725977505,1.1603878556668321,45,47,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_AND_PM_OPPOSING,OTHER,1402,1369,684,685,18,15,49.96347699050402,48.64479315263909,1.6471883623791144,1.5801062979176892,1.169676199521097,1.122054386808543,112,159,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_OPPOSING_PM_ALIGNED,NEGATIVE_CANDIDATE,30,30,15,15,0,0,50.0,36.666666666666664,1.2660854900219405,1.4224293448600847,0.8744015336708927,1.1147302140077961,24,22,gap_premarket_structure_state,negative_candidate_state
VALIDATION,GAP_OPPOSING_PM_ALIGNED,OTHER,441,430,209,221,9,2,48.604651162790695,48.29931972789116,1.7339733169510236,1.5282675527915328,1.1995386389849965,1.1143062544931617,109,138,gap_premarket_structure_state,negative_candidate_state
VALIDATION,MIXED_FLAT,NEGATIVE_CANDIDATE,4,4,2,2,0,0,50.0,50.0,1.1142391657660409,0.8795472073664914,0.9101189333443692,0.6902747492453913,4,4,gap_premarket_structure_state,negative_candidate_state
VALIDATION,MIXED_FLAT,OTHER,74,73,40,33,1,0,54.794520547945204,55.4054054054054,1.3157357099694107,1.076992060975176,0.9079535043951272,0.9569145577071755,43,51,gap_premarket_structure_state,negative_candidate_state
VALIDATION,UNKNOWN,OTHER,21,21,9,12,0,0,42.857142857142854,38.095238095238095,1.2312687362659556,1.3704637714788614,1.093249617441522,1.4666746404329674,8,20,gap_premarket_structure_state,negative_candidate_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,ALL_3_CLEARED,113,112,66,46,0,1,58.92857142857143,38.93805309734513,1.1406363841342806,1.0229101187198502,1.0871440897325324,0.7311129163281862,71,78,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,INCOMPLETE,2,2,1,1,0,0,50.0,0.0,0.45605539715360793,1.363702044097752,0.45605539715360793,1.363702044097752,2,1,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,NONE_CLEARED,48,48,23,25,0,0,47.916666666666664,56.25,1.0617069635948824,1.4211934211177242,0.8422162811423519,0.8923340739764786,40,39,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,ONE_OF_3_CLEARED,173,166,86,80,1,6,51.80722891566265,43.93063583815029,1.5251364110674455,1.1344832369822273,0.9853202846975103,0.6912127018888522,88,98,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_ALIGNED_PM_OPPOSING,TWO_OF_3_CLEARED,194,190,109,81,0,4,57.36842105263158,51.54639175257732,1.3865495648105424,1.145674936759895,0.9618960687634492,0.7656090163392012,89,101,gap_premarket_structure_state,session_level_clear_state
