symbol,trade_date,direction,research_period,quarter,c1_cleared_pattern,pm_pd_spacing_pct,directional_level_order_inner_to_outer,A37_G_N1_PM_PD_SPACING_Q4,A37_G_P2_PD_AH_PM_ORDERING,A38_T_P1_PM_REMAINS_FOR_C2,A38_T_N1_PD_REMAINS_FOR_C2,a42_priorclose_to_outer_consumed_ratio,A42_N2_OPEN_CONSUMED_RATIO_Q2
BAC,2025-09-16,BEAR,DISCOVERY,2025Q3,AH,0.03962750148602342,AH>PM>PD,False,False,False,False,-0.38461538461535516,False
BAC,2025-10-22,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.09715340522686149,PM>PD>AH,False,False,False,False,0.0625000000000333,False
BAC,2025-12-15,BULL,DISCOVERY,2025Q4,AH+PD,0.46010194415624606,AH>PD>PM,False,False,True,False,0.6410256410256401,False
BAC,2026-01-05,BULL,DISCOVERY,2026Q1,PM+AH+PD,0.4988419739889562,PD>AH>PM,True,True,False,False,0.6774193548387074,False
BAC,2026-01-22,BULL,VALIDATION,2026Q1,PM+AH,0.45506257110353054,AH>PM>PD,False,False,False,True,0.4868421052631558,True
BAC,2026-04-01,BULL,VALIDATION,2026Q2,PM+AH+PD,1.8687791996749838,PD>AH>PM,False,True,False,False,1.0106382978723458,False
BKNG,2026-07-28,BULL,VALIDATION,2026Q3,PM+AH+PD,1.934767669292169,PD>AH>PM,False,True,False,False,0.6369047619047595,False
BKNG,2026-08-24,BULL,VALIDATION,2026Q3,PM+AH+PD,0.17468073554753183,AH>PD>PM,False,False,False,False,0.5126050420168072,True
BLK,2025-10-21,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.45430741026047755,PM>AH>PD,False,False,False,False,1.394913668452721,False
BLK,2026-01-22,BULL,VALIDATION,2026Q1,PM+AH+PD,0.17204622807344985,AH>PD>PM,False,False,False,False,1.0320170757737415,False
BMY,2025-07-21,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.23248441297685604,PM>AH>PD,False,False,False,False,-0.13043478260869834,False
BMY,2025-09-02,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.29604567561852524,AH>PM>PD,False,False,False,False,0.6249999999999778,False
BMY,2025-11-06,BULL,DISCOVERY,2025Q4,PM+AH+PD,0.22005742962187513,AH>PM>PD,False,False,False,False,-0.37500000000000555,False
BMY,2025-11-11,BULL,DISCOVERY,2025Q4,PM+AH+PD,0.15811943287829172,AH>PD>PM,False,False,False,False,1.047619047619038,False
BMY,2026-01-06,BULL,DISCOVERY,2026Q1,PM+AH,0.2815051140095685,AH>PM>PD,False,False,False,True,0.4482758620689757,True
BMY,2026-04-01,BULL,VALIDATION,2026Q2,PM+AH+PD,0.1797826264607329,AH>PD>PM,False,False,False,False,0.9499999999999982,False
BMY,2026-04-06,BEAR,VALIDATION,2026Q2,AH+PD,0.20325203252033291,AH>PD>PM,False,False,True,False,0.77049180327869,False
BMY,2026-04-21,BEAR,VALIDATION,2026Q2,PM+AH,0.347413464390117,AH>PM>PD,False,False,False,True,-0.08888888888887064,False
BMY,2026-05-27,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.4663615165385666,AH>PD>PM,False,False,False,False,0.03571428571427846,False
BMY,2026-08-19,BULL,VALIDATION,2026Q3,AH+PD,0.9147484441778502,AH>PD>PM,True,False,True,False,0.7900552486187873,False
C,2025-09-04,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.05783711242706476,AH>PD>PM,False,False,False,False,1.0178117048345765,False
C,2025-09-25,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.7110408848508778,AH>PD>PM,True,False,False,False,0.8243243243243292,False
C,2025-11-20,BULL,DISCOVERY,2025Q4,PM+AH+PD,0.7674362982810699,AH>PD>PM,True,False,False,False,0.8073089700996631,False
C,2026-02-04,BULL,VALIDATION,2026Q1,AH,0.5480838146633549,AH>PM>PD,True,False,False,False,0.057851239669427214,False
C,2026-02-17,BULL,VALIDATION,2026Q1,AH+PD,1.1944745516260096,AH>PD>PM,False,False,True,False,0.7593637762955334,False
C,2026-04-01,BULL,VALIDATION,2026Q2,PM+AH+PD,1.2924635403021605,AH>PD>PM,False,False,False,False,1.1189189189189186,False
C,2026-06-09,BULL,VALIDATION,2026Q2,PM+AH,0.09642843897192112,AH>PM>PD,False,False,False,True,0.905956112852661,False
CAT,2025-08-18,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.020046224234715047,AH>PD>PM,False,False,False,False,1.0221260221260038,False
CAT,2025-12-01,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.42420321837712105,AH>PD>PM,False,False,False,False,0.925125367456339,False
CEG,2025-06-16,BULL,DISCOVERY,2025Q2,PM+AH+PD,0.01666805567130973,AH>PD>PM,False,False,False,False,1.0,False
CEG,2025-07-14,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.4965859714463138,PM>AH>PD,True,False,False,False,0.3698630136986104,True
CEG,2025-08-11,BEAR,DISCOVERY,2025Q3,PM+AH,1.0479041916167664,PM>AH>PD,False,False,False,True,-0.13513513513514214,False
CEG,2026-01-02,BULL,DISCOVERY,2026Q1,PM+AH+PD,0.26114738158077444,AH>PM>PD,False,False,False,False,0.661538461538461,False
CEG,2026-01-07,BEAR,DISCOVERY,2026Q1,PM+AH,1.54848158747478,AH>PM>PD,False,False,False,True,0.30078125000000006,True
CEG,2026-01-16,BEAR,VALIDATION,2026Q1,PM+AH+PD,3.969346771985453,AH>PD>PM,False,False,False,False,0.976585670430304,False
CEG,2026-01-27,BEAR,VALIDATION,2026Q1,PM+AH,0.8298464608974062,PM>AH>PD,True,False,False,True,-0.9397590361445635,False
CEG,2026-05-11,BEAR,VALIDATION,2026Q2,NONE,1.0679675654294973,PM>AH>PD,False,False,False,False,-6.052083333333286,False
CEG,2026-05-28,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.7668201474115435,AH>PD>PM,True,False,False,False,0.8273809523809466,False
CEG,2026-06-05,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.0995901482361018,AH>PD>PM,False,False,False,False,0.9838709677419349,False
CEG,2026-06-12,BULL,VALIDATION,2026Q2,PM+AH+PD,0.6782926290863108,PD>AH>PM,True,True,False,False,0.9494047619047659,False
CEG,2026-06-25,BULL,VALIDATION,2026Q2,PM+AH,1.2707040287928237,AH>PM>PD,False,False,False,True,0.33553719008264266,True
CEG,2026-07-14,BULL,VALIDATION,2026Q3,PM+AH+PD,0.9312390115728764,AH>PD>PM,True,False,False,False,1.822222222222216,False
CMCSA,2025-09-18,BEAR,DISCOVERY,2025Q3,PM+AH,0.3719776813391117,AH>PM>PD,False,False,False,True,0.4090909090909267,True
CMCSA,2025-11-05,BULL,DISCOVERY,2025Q4,PD,0.1451378809869345,PD>AH>PM,False,True,False,False,0.03571428571427937,False
CMCSA,2026-02-27,BEAR,VALIDATION,2026Q1,PM+AH+PD,0.40660323656176306,PD>AH>PM,False,True,False,False,0.8333333333333267,False
CMCSA,2026-05-29,BEAR,VALIDATION,2026Q2,AH,0.2006018054162516,AH>PM>PD,False,False,False,False,0.42307692307691835,True
CMCSA,2026-06-17,BEAR,VALIDATION,2026Q2,PM+AH,0.4705882352941152,AH>PM>PD,False,False,False,True,0.6571428571428557,False
CME,2025-10-06,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.12864656248816642,AH>PD>PM,False,False,False,False,1.0,False
CME,2025-12-08,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.03703017959637946,AH>PD>PM,False,False,False,False,0.41860465116279993,True
CME,2026-03-02,BULL,VALIDATION,2026Q1,PM+AH+PD,0.23588565753126756,AH>PD>PM,False,False,False,False,0.8163636363636381,False
CME,2026-05-26,BEAR,VALIDATION,2026Q2,AH,0.034596090641765345,AH>PD>PM,False,False,False,False,0.5470852017937298,False
CMG,2025-06-16,BULL,DISCOVERY,2025Q2,AH+PD,0.26844158246706834,AH>PD>PM,False,False,True,False,0.5748031496062977,False
CMG,2025-07-07,BEAR,DISCOVERY,2025Q3,AH+PD,0.8320793130919694,AH>PD>PM,True,False,True,False,0.4756097560975615,True
CMG,2025-07-24,BEAR,DISCOVERY,2025Q3,PM+AH+PD,13.442455242966739,PD>AH>PM,False,True,False,False,0.9157458563535912,False
CMG,2025-08-19,BEAR,DISCOVERY,2025Q3,NONE,0.0,AH>PM>PD,False,False,False,False,-3.666666666666509,False
CMG,2025-12-18,BULL,DISCOVERY,2025Q4,AH,0.19972039145197482,AH>PD>PM,False,False,False,False,0.7739130434782575,False
CMG,2026-02-23,BEAR,VALIDATION,2026Q1,PM+AH+PD,0.1880456682337147,AH>PD>PM,False,False,False,False,1.1690140845070267,False
CMG,2026-05-28,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.6155740227762475,PD>AH>PM,True,True,False,False,1.2812500000000104,False
