hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,213,208,117,91,4,1,56.25,1.8495037010405282,1.7145949284466449,1.402137679242289,1.2113055181695904,93,53
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,238,233,129,104,4,1,55.36480686695279,1.7061820648139157,1.3847333218248832,1.3181442137028943,1.047758560245946,98,52
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,110,107,59,48,2,1,55.14018691588785,1.9725367799096543,1.311455515210451,1.4846612147431615,1.0183505159993675,72,24
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,95,93,50,43,2,0,53.763440860215056,2.1224590957995146,1.1093285622909423,1.598714908590214,0.7840909090909065,68,24
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,246,236,114,122,9,1,48.30508474576271,1.9289980212038957,1.9448955258472784,1.34678473264818,1.3816763192045627,89,56
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,206,204,96,108,2,0,47.05882352941177,1.3968805552320454,1.5412908069584548,0.9650431979756446,1.2315203242626072,88,51
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,VALIDATION_NEWER,272,264,140,124,3,5,53.03030303030303,1.6426666485327002,1.5320130501448426,1.21045850066678,0.9341397870129862,101,54
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,VALIDATION_OLDER,267,262,119,143,2,3,45.41984732824427,1.4934043123282275,1.39690053150981,1.0071850141134162,0.983800500202366,101,55
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,186,181,101,80,4,1,55.80110497237569,2.0046117016054703,1.8442471162343395,1.5956804767159785,1.1869375666423032,74,54
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,225,218,117,101,5,2,53.669724770642205,1.7797074307725895,1.3623419896010682,1.2290062981105678,1.1795343137254841,90,54
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,115,114,52,62,1,0,45.6140350877193,2.2006004973339555,1.5092392606813931,1.2743936063834567,1.062516136624056,67,24
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,142,138,61,77,4,0,44.20289855072464,1.525452375387274,1.9896734041389141,1.0298136784771341,1.484130636084131,84,24
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,VALIDATION_NEWER,195,192,92,100,3,0,47.916666666666664,1.3998290557947666,1.6280318756145478,0.9451683867951243,1.0540217915830588,90,24
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,VALIDATION_OLDER,182,179,92,87,3,0,51.39664804469274,1.3208210637465594,1.505519790889834,1.080274614255416,1.1133583361963408,92,24
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,351,335,163,172,12,4,48.656716417910445,2.0635425018752835,1.9186395679774368,1.3544767064673122,1.2924213117636707,100,56
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,315,308,148,160,7,0,48.05194805194805,1.4497554888649362,1.5325395524035124,1.0658771280533006,1.1735887686458164,106,53
