hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MSFT,2,2,0,2,0,0,0.0,2.229839502919312,0.7534337692742545,2.229839502919312,0.7534337692742545,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,MU,7,6,4,2,1,0,66.66666666666667,2.317594050666353,3.985624378830823,1.4924998745798537,2.9712955779674104,1,7
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,NEE,4,4,2,2,0,0,50.0,0.6360530669928343,0.9923612248661284,0.6406169011953002,1.100960064750383,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,NFLX,7,7,2,5,0,0,28.571428571428573,1.9184131696151607,0.7360600843386363,1.1529592621060691,0.5381165919282533,1,7
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,NKE,6,6,3,3,0,0,50.0,0.8180859798868392,1.683005896281849,0.4785474945526085,1.5909072434783043,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,NOW,6,6,3,3,0,0,50.0,2.5015846732303753,1.9079880777398415,2.1501227673629906,1.5212822238192993,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,NVDA,4,4,1,3,0,0,25.0,1.1430771018174204,1.478465430001095,1.1765707570981077,1.152360525781772,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ORCL,7,7,3,4,0,0,42.857142857142854,2.019828128548163,1.3997463092644924,1.3068783068783063,1.6157434785465559,1,7
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,OXY,9,9,4,5,0,0,44.44444444444444,1.4930137984157605,1.9358192426698568,1.2454152742684863,0.7114905727499086,1,9
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,PANW,1,1,0,1,0,0,0.0,1.9500513171399207,1.6968867601778923,1.9500513171399207,1.6968867601778923,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,PEP,3,3,3,0,0,0,100.0,0.8679082755658792,1.081284596563285,0.8875872944356789,1.377187054141334,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,PFE,5,5,4,1,0,0,80.0,1.9859069197798327,0.47223035007137726,2.4500090073860554,0.6018602954586875,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,PLTR,2,2,1,1,0,0,50.0,0.5356299484107971,1.8301364555160973,0.5356299484107971,1.8301364555160973,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,PYPL,3,3,2,1,0,0,66.66666666666667,1.4867376936154348,1.3935589764503493,1.4812202433433193,0.9875032771126413,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,QCOM,3,3,2,1,0,0,66.66666666666667,2.4288507555597048,0.9053892311765709,2.640510843927977,0.8148190761088313,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,QQQ,1,1,0,1,0,0,0.0,0.22532037741163535,1.298408674834534,0.22532037741163535,1.298408674834534,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,RBLX,2,2,1,1,0,0,50.0,2.7164456813568205,1.5170703871928506,2.7164456813568205,1.5170703871928506,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,REGN,2,2,1,1,0,0,50.0,3.383857941751179,0.8187716883191362,3.383857941751179,0.8187716883191362,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,RTX,2,2,1,1,0,0,50.0,2.5159657451864526,0.36007307069317046,2.5159657451864526,0.36007307069317046,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,SBUX,4,4,2,2,0,0,50.0,1.6514494885154036,0.9759259677061616,1.7914190561234542,0.925790620325974,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,SCHW,3,3,3,0,0,0,100.0,2.076146551856626,0.7822156954962182,1.163099474215305,0.9400393010781145,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,SHOP,5,5,3,2,0,0,60.0,4.778015201669002,0.5665500235405092,4.388556168633536,0.709870876935314,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,SLB,6,6,1,5,0,0,16.666666666666668,1.2889045953298106,1.1317920267945167,1.3556880636155335,1.0787931787915315,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,SNOW,5,5,3,2,0,0,60.0,2.318017285781091,2.897106173711431,2.4415925836244594,2.7430903870766916,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,SPY,1,0,0,0,0,1,,0.24271447829764528,0.4617966222111201,0.24271447829764528,0.4617966222111201,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,T,2,2,0,2,0,0,0.0,0.5910615295585295,3.366153750837091,0.5910615295585295,3.366153750837091,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TEAM,4,4,3,1,0,0,75.0,4.5090744999713985,1.9381824324157926,4.577574494278413,2.233654513045781,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TGT,1,1,0,1,0,0,0.0,0.5427068548050359,1.536277865909663,0.5427068548050359,1.536277865909663,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TMO,5,5,4,1,0,0,80.0,2.37439406160048,0.6881739589556222,2.5795997892581335,0.3677601060304966,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TMUS,1,1,0,1,0,0,0.0,0.8234318872616638,1.9148936170212787,0.8234318872616638,1.9148936170212787,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TQQQ,1,1,1,0,0,0,100.0,0.686250084931951,3.9637736960115815,0.686250084931951,3.9637736960115815,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TSLA,3,3,1,2,0,0,33.333333333333336,1.2925242285943424,1.2884984652030635,0.9541106370274489,1.2874895819079752,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,TXN,2,2,2,0,0,0,100.0,2.605874395080218,0.6146971017448863,2.605874395080218,0.6146971017448863,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,UBER,4,4,2,2,0,0,50.0,1.241005189457318,1.7447811105963968,1.1561592042455313,1.730455374383088,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,UNH,3,3,2,1,0,0,66.66666666666667,1.2296494160901745,0.9915282987200221,1.33611214206184,0.4571483107463249,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,UPS,1,1,0,1,0,0,0.0,2.9098785196346206,0.6026932856201155,2.9098785196346206,0.6026932856201155,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,URI,1,1,1,0,0,0,100.0,1.1729988933972517,0.428347473257099,1.1729988933972517,0.428347473257099,1,1
