research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ALL_3_OPPOSING,1450,1411,708,703,9,30,50.17717930545712,44.3448275862069,1.3011036600541948,1.1947629895113054,112,107,BEAR,market_3idx_daily_ema20_state
DISCOVERY,MAJORITY_ALIGNED,113,112,57,55,0,1,50.892857142857146,42.47787610619469,1.2040063130721665,1.8412690008927468,72,10,BEAR,market_3idx_daily_ema20_state
DISCOVERY,MAJORITY_OPPOSING,173,170,83,87,2,1,48.8235294117647,46.24277456647399,1.1993008549993838,1.4035480048394495,87,13,BEAR,market_3idx_daily_ema20_state
DISCOVERY,UNKNOWN,287,282,144,138,0,5,51.06382978723404,53.65853658536585,1.0810098901837273,1.2499247549355226,109,20,BEAR,market_3idx_daily_ema20_state
DISCOVERY,ALL_3_ALIGNED,1420,1382,710,672,2,36,51.37481910274964,44.014084507042256,1.260122372766005,1.1588443685297947,112,107,BULL,market_3idx_daily_ema20_state
DISCOVERY,ALL_3_OPPOSING,130,129,75,54,0,1,58.13953488372093,54.61538461538461,1.333931899874258,1.5024166806027062,82,11,BULL,market_3idx_daily_ema20_state
DISCOVERY,MAJORITY_ALIGNED,170,170,91,79,0,0,53.529411764705884,56.470588235294116,1.2590983278517391,1.427749707237751,95,13,BULL,market_3idx_daily_ema20_state
DISCOVERY,MAJORITY_OPPOSING,150,147,78,69,1,2,53.06122448979592,54.666666666666664,1.3935737801031907,1.3525201695789406,90,10,BULL,market_3idx_daily_ema20_state
DISCOVERY,UNKNOWN,230,226,127,99,0,4,56.19469026548673,52.17391304347826,1.3168505163025688,1.1398327113598028,94,20,BULL,market_3idx_daily_ema20_state
VALIDATION,ALL_3_ALIGNED,427,421,211,210,4,2,50.1187648456057,46.37002341920375,1.34845540165712,1.5848012275203585,108,35,BEAR,market_3idx_daily_ema20_state
VALIDATION,ALL_3_OPPOSING,985,964,501,463,10,11,51.97095435684647,51.065989847715734,1.6253535375208794,1.558688188764037,112,78,BEAR,market_3idx_daily_ema20_state
VALIDATION,MAJORITY_ALIGNED,254,249,107,142,5,0,42.971887550200805,45.669291338582674,2.0677732115142398,1.5862134345995467,100,21,BEAR,market_3idx_daily_ema20_state
VALIDATION,MAJORITY_OPPOSING,299,292,149,143,5,2,51.02739726027397,41.137123745819395,1.7643689480543387,1.5126034696441557,104,22,BEAR,market_3idx_daily_ema20_state
VALIDATION,UNKNOWN,67,64,31,33,2,1,48.4375,49.25373134328358,1.3941035069853425,1.1019197807279464,51,5,BEAR,market_3idx_daily_ema20_state
VALIDATION,ALL_3_ALIGNED,1068,1045,493,552,18,5,47.177033492822964,44.662921348314605,1.6175179080018929,1.5213824920599446,112,78,BULL,market_3idx_daily_ema20_state
VALIDATION,ALL_3_OPPOSING,439,427,208,219,10,2,48.711943793911004,48.29157175398633,1.8858219949913546,1.4544697778908515,107,35,BULL,market_3idx_daily_ema20_state
VALIDATION,MAJORITY_ALIGNED,284,273,133,140,9,2,48.717948717948715,47.183098591549296,1.666887501551049,1.831965401307606,97,22,BULL,market_3idx_daily_ema20_state
VALIDATION,MAJORITY_OPPOSING,279,270,142,128,6,3,52.592592592592595,50.89605734767025,1.7928553913187122,1.5910765762561683,102,21,BULL,market_3idx_daily_ema20_state
VALIDATION,UNKNOWN,83,83,39,44,0,0,46.98795180722892,45.78313253012048,1.7121545624200263,1.5170451110706553,56,5,BULL,market_3idx_daily_ema20_state
DISCOVERY,ALL_3_ALIGNED,1608,1576,818,758,1,31,51.90355329949239,47.63681592039801,1.28597147125898,1.251624146977068,112,127,ALL,market_3idx_prior_1w_state
DISCOVERY,ALL_3_OPPOSING,1797,1761,907,854,10,26,51.50482680295287,45.18642181413467,1.3377357985583747,1.260328632330477,112,127,ALL,market_3idx_prior_1w_state
DISCOVERY,MAJORITY_ALIGNED,297,290,156,134,0,7,53.793103448275865,49.158249158249156,1.2505151642079548,1.1920022079759744,101,29,ALL,market_3idx_prior_1w_state
DISCOVERY,MAJORITY_OPPOSING,452,434,181,253,3,15,41.705069124423964,42.47787610619469,1.1925566844517141,1.2113305205345837,108,29,ALL,market_3idx_prior_1w_state
DISCOVERY,UNKNOWN,118,116,72,44,0,2,62.06896551724138,58.47457627118644,1.2185321948383738,1.068833270674733,77,5,ALL,market_3idx_prior_1w_state
VALIDATION,ALL_3_ALIGNED,1577,1550,750,800,21,6,48.38709677419355,46.036778693722255,1.6395554681365663,1.4852152680095825,112,122,ALL,market_3idx_prior_1w_state
VALIDATION,ALL_3_OPPOSING,1557,1518,792,726,23,16,52.17391304347826,49.518304431599226,1.691118628943548,1.5567497766753375,112,122,ALL,market_3idx_prior_1w_state
VALIDATION,MAJORITY_ALIGNED,531,518,235,283,12,1,45.366795366795365,42.93785310734463,1.6217226977314807,1.64978128654625,111,39,ALL,market_3idx_prior_1w_state
VALIDATION,MAJORITY_OPPOSING,520,502,237,265,13,5,47.211155378486055,48.26923076923077,1.7581546556945404,1.6392068059491518,112,39,ALL,market_3idx_prior_1w_state
DISCOVERY,ALL_3_ALIGNED,634,626,313,313,1,7,50.0,45.110410094637224,1.341555811763839,1.3647020118360698,112,47,BEAR,market_3idx_prior_1w_state
DISCOVERY,ALL_3_OPPOSING,1132,1102,561,541,7,23,50.90744101633394,45.936395759717314,1.271733392963595,1.2591736685259913,112,80,BEAR,market_3idx_prior_1w_state
DISCOVERY,MAJORITY_ALIGNED,63,60,39,21,0,3,65.0,55.55555555555556,1.5202766060294455,0.8746909421185517,47,9,BEAR,market_3idx_prior_1w_state
DISCOVERY,MAJORITY_OPPOSING,267,259,97,162,3,5,37.45173745173745,38.57677902621723,1.376445665322437,1.2106887178328116,100,20,BEAR,market_3idx_prior_1w_state
