research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,LOW,412,398,211,187,1,13,53.015075376884425,47.57281553398058,1.2669436338379276,1.1547724840020972,0.8823740405542126,0.8522621329748854,103,134,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,MODERATE,1193,1171,563,608,1,21,48.07856532877882,43.922883487007546,1.2741080941287908,1.1985528569107586,0.8944298054868266,0.8895038545166943,111,148,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,147,144,82,62,0,3,56.94444444444444,62.585034013605444,1.0392623560340373,1.1520518300236502,0.7208062183658708,0.9682323757701913,83,10,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,HIGH,385,383,182,201,1,1,47.51958224543081,43.116883116883116,1.5671388281499035,1.4680832743300551,1.0970927043335232,1.0503354909073637,108,129,BULL,c1_rvol_20d_discovery_state
DISCOVERY,LOW,393,380,199,181,0,13,52.36842105263158,47.58269720101781,1.2267915519202313,1.141682244193085,0.8454673555659922,0.728826338275943,106,124,BULL,c1_rvol_20d_discovery_state
DISCOVERY,MODERATE,1222,1195,636,559,2,25,53.22175732217573,47.299509001636665,1.2012952152724419,1.1677429700085316,0.8724377458561631,0.842046949121529,111,147,BULL,c1_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,100,96,64,32,0,4,66.66666666666667,63.0,1.3528303600595806,1.0775507913529436,1.1270586073079474,0.5746505841567794,61,10,BULL,c1_rvol_20d_discovery_state
VALIDATION,HIGH,356,346,184,162,10,0,53.179190751445084,48.87640449438202,1.8886405917747688,1.6157538557982165,1.4735859358613146,1.3571727379264136,105,127,BEAR,c1_rvol_20d_discovery_state
VALIDATION,LOW,438,432,220,212,3,3,50.925925925925924,48.17351598173516,1.6111607946907183,1.5500409570160083,1.180208714258297,1.137160013975735,108,139,BEAR,c1_rvol_20d_discovery_state
VALIDATION,MODERATE,1238,1212,595,617,13,13,49.09240924092409,47.49596122778675,1.570989384798212,1.5241413193596547,1.1214717220726242,1.0565027083573941,111,158,BEAR,c1_rvol_20d_discovery_state
VALIDATION,HIGH,434,419,208,211,15,0,49.64200477326969,47.465437788018434,1.952403194521484,1.7851265226394188,1.3693666800961253,1.2427007689280796,107,138,BULL,c1_rvol_20d_discovery_state
VALIDATION,LOW,454,436,211,225,14,4,48.39449541284404,44.93392070484582,1.5439417479820006,1.6359837161435955,1.0537412484803044,1.2267584328056764,107,142,BULL,c1_rvol_20d_discovery_state
VALIDATION,MODERATE,1265,1243,596,647,14,8,47.948511665325825,46.87747035573123,1.678105908964707,1.4513600782807117,1.168404789494007,1.0613718411552338,112,159,BULL,c1_rvol_20d_discovery_state
DISCOVERY,HIGH,804,790,401,389,9,5,50.75949367088607,45.52238805970149,1.507717537230505,1.4919615886655206,1.0478928451217475,1.079555585049329,109,149,ALL,c2_rvol_20d_discovery_state
DISCOVERY,LOW,804,783,400,383,0,21,51.08556832694764,45.398009950248756,1.172214967239864,1.1630727047625888,0.8651510277308848,0.7620735503204596,112,146,ALL,c2_rvol_20d_discovery_state
DISCOVERY,MODERATE,2411,2358,1186,1172,5,48,50.296861747243426,45.499792617171295,1.277216669476039,1.1951432016663048,0.9077155824508321,0.8619532135123512,112,151,ALL,c2_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,253,246,147,99,0,7,59.75609756097561,62.055335968379445,1.1539274949636271,1.142105638314017,0.843756792538578,0.9195634599838285,99,16,ALL,c2_rvol_20d_discovery_state
VALIDATION,HIGH,843,814,414,400,29,0,50.85995085995086,47.09371293001186,1.920169461195081,1.708703779043615,1.4143879305563165,1.2679310159565815,108,160,ALL,c2_rvol_20d_discovery_state
VALIDATION,LOW,840,819,423,396,11,10,51.64835164835165,49.642857142857146,1.5108434371045083,1.3998542081680614,1.0964349047204567,1.0448311407543154,111,159,ALL,c2_rvol_20d_discovery_state
VALIDATION,MODERATE,2502,2455,1177,1278,29,18,47.942973523421585,46.442845723421264,1.6411728653148703,1.5500201685009152,1.15342155130323,1.0919986946400382,112,161,ALL,c2_rvol_20d_discovery_state
DISCOVERY,HIGH,407,398,200,198,7,2,50.25125628140704,42.5061425061425,1.5014263841250666,1.6315880580436894,1.0429042904290449,1.2138807162480794,103,131,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,LOW,420,410,201,209,0,10,49.02439024390244,45.23809523809524,1.1785076063464077,1.2117991870316926,0.8763798091507652,0.8014537339345482,108,130,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,MODERATE,1195,1168,569,599,4,23,48.715753424657535,44.76987447698745,1.3190908780968085,1.1774194802413611,0.9322022246359838,0.8765339343851717,111,151,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,150,147,83,64,0,3,56.46258503401361,62.0,1.0324541985691964,1.1762140632727631,0.7162548940902984,0.9704383763349429,85,13,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,HIGH,397,392,201,191,2,3,51.275510204081634,48.614609571788414,1.5141671576685742,1.3488180797564155,1.0552531580568851,0.9574944071588307,105,132,BULL,c2_rvol_20d_discovery_state
DISCOVERY,LOW,384,373,199,174,0,11,53.35120643431635,45.572916666666664,1.165332393217082,1.1097781147807566,0.8540654210205887,0.711824699262099,107,128,BULL,c2_rvol_20d_discovery_state
DISCOVERY,MODERATE,1216,1190,617,573,1,25,51.84873949579832,46.2171052631579,1.2360656174186218,1.2125608390863767,0.8874542612468985,0.8463427230968279,112,150,BULL,c2_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,c2_rvol_20d_discovery_state
VALIDATION,HIGH,366,357,187,170,9,0,52.38095238095238,46.994535519125684,1.906065668651141,1.6735627973370613,1.48934926767524,1.318558397675046,97,143,BEAR,c2_rvol_20d_discovery_state
VALIDATION,LOW,442,436,230,206,3,3,52.75229357798165,51.58371040723982,1.4911269123868114,1.392011727686557,1.0854072561698216,1.0146313990288376,105,143,BEAR,c2_rvol_20d_discovery_state
VALIDATION,MODERATE,1224,1197,582,615,14,13,48.62155388471178,46.81372549019608,1.6063980450369693,1.5630883151483717,1.1553936615144378,1.092799474574664,112,161,BEAR,c2_rvol_20d_discovery_state
VALIDATION,HIGH,477,457,227,230,20,0,49.671772428884026,47.16981132075472,1.9309912391218773,1.7356672995983293,1.387109353239379,1.2618461699565453,106,142,BULL,c2_rvol_20d_discovery_state
VALIDATION,LOW,398,383,193,190,8,7,50.391644908616186,47.48743718592965,1.5327396781226537,1.4085636965419936,1.1069988719462405,1.0621989870296185,109,141,BULL,c2_rvol_20d_discovery_state
VALIDATION,MODERATE,1278,1258,595,663,15,5,47.2972972972973,46.087636932707355,1.6744783269894798,1.5375041970639152,1.1514763726664934,1.0904681449672369,112,161,BULL,c2_rvol_20d_discovery_state
DISCOVERY,HIGH,804,790,379,411,11,3,47.9746835443038,43.159203980099505,1.5876304871392855,1.5950601580075778,1.132426507303464,1.1411134949634452,112,146,ALL,opening_2m_rvol_20d_discovery_state
DISCOVERY,LOW,804,776,399,377,1,27,51.41752577319588,47.014925373134325,1.2332038637333076,1.1409774861153843,0.8468868630217783,0.7721528345788309,112,141,ALL,opening_2m_rvol_20d_discovery_state
DISCOVERY,MODERATE,2410,2364,1208,1156,2,44,51.099830795262264,45.726141078838175,1.2305275967027403,1.1681240583133774,0.8871560294653587,0.8504586863220727,112,151,ALL,opening_2m_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,254,247,148,99,0,7,59.91902834008097,62.20472440944882,1.1514033613052566,1.1422728788071097,0.8411237546242518,0.9203012373912729,100,16,ALL,opening_2m_rvol_20d_discovery_state
VALIDATION,HIGH,807,779,403,376,28,0,51.73299101412067,47.58364312267658,2.000838773812872,1.739283346247924,1.4989293361884328,1.3171759747102212,112,157,ALL,opening_2m_rvol_20d_discovery_state
VALIDATION,LOW,848,822,411,411,16,10,50.0,45.75471698113208,1.5981839457284872,1.5134960104955633,1.119948323845092,1.1101636976783307,112,158,ALL,opening_2m_rvol_20d_discovery_state
VALIDATION,MODERATE,2530,2487,1200,1287,25,18,48.25090470446321,47.58893280632411,1.590549002185099,1.5049086975738803,1.1385489713511692,1.077310238881744,112,161,ALL,opening_2m_rvol_20d_discovery_state
DISCOVERY,HIGH,407,397,189,208,9,1,47.60705289672544,42.01474201474201,1.5564019439397956,1.7137785628162405,1.1402572600123633,1.2532708993251571,109,125,BEAR,opening_2m_rvol_20d_discovery_state
DISCOVERY,LOW,411,396,203,193,1,14,51.26262626262626,46.95863746958638,1.231654124582806,1.1628105359987122,0.8219178082191815,0.8305358154945954,104,131,BEAR,opening_2m_rvol_20d_discovery_state
DISCOVERY,MODERATE,1203,1182,577,605,1,20,48.8155668358714,44.30590191188695,1.2819527002471418,1.166600737306965,0.9290808556414499,0.8566590297838425,112,147,BEAR,opening_2m_rvol_20d_discovery_state
