quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature,feature_label
2026Q1,EXTREME,252,241,116,125,11,0,48.13278008298755,118,46.82539682539682,2.07070081329244,1.779369770209814,1.505503053656322,1.3856291409859727,93,61,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,LOW,142,139,70,69,1,2,50.35971223021583,64,45.070422535211264,1.2473378170948948,1.358691386374746,0.9330127062120912,0.880354259422983,73,55,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q1,MODERATE,442,435,229,206,5,2,52.64367816091954,209,47.28506787330317,1.4802704418126549,1.4112833136419811,1.0856179492841973,1.0844314594538869,109,61,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,EXTREME,261,253,130,123,8,0,51.383399209486164,124,47.509578544061306,1.9766078812197119,2.2262324864673286,1.5924136697083566,1.6670322439131344,90,58,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,LOW,114,109,51,58,0,5,46.788990825688074,60,52.63157894736842,1.0816494410273936,1.2556578320781475,0.6723105330610597,0.9187502578962531,56,53,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,MODERATE,427,419,210,209,5,3,50.11933174224344,205,48.00936768149883,1.5510425199916174,1.4657386883657118,1.067785624125813,1.103711925021576,111,62,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,EXTREME,258,252,124,128,6,0,49.20634920634921,118,45.736434108527135,2.2721867276081813,1.9606640653357372,1.6209707574857424,1.3484357074524365,88,62,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,LOW,116,112,55,57,0,4,49.107142857142854,57,49.13793103448276,1.6158967695539312,1.1214764247663012,1.02829823537551,0.7806392437920646,65,51,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q2,MODERATE,451,448,229,219,3,0,51.11607142857143,214,47.450110864745014,1.7556111472797211,1.2938527555966655,1.1962315920561775,0.9426663992435642,108,62,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,EXTREME,172,169,71,98,3,0,42.01183431952663,81,47.093023255813954,1.81511729136123,2.0002147301817024,1.1027375087578175,1.5303726691808086,81,41,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,LOW,80,77,37,40,0,3,48.05194805194805,44,55.0,1.2995371533804296,1.1370423053397456,0.7778042505339594,0.7101839985869504,49,35,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,MODERATE,306,301,156,145,1,4,51.82724252491694,151,49.34640522875817,1.6221348231488883,1.3624589063628338,1.1737410587429589,0.9613818145776896,101,41,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,EXTREME,196,182,83,99,14,0,45.604395604395606,92,46.93877551020408,2.006704069646265,2.04491491079854,1.5838226086548435,1.5669944172023231,76,41,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,LOW,83,80,33,47,0,3,41.25,41,49.397590361445786,1.038964630389213,1.3276759825560125,0.5735433742176602,0.7942940508996514,48,37,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2026Q3,MODERATE,258,254,120,134,3,1,47.24409448818898,115,44.57364341085271,1.4548371632277994,1.45468234213761,1.1313413194644897,1.0770049692169787,99,41,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
2025Q2,EXTREME,140,140,77,63,0,0,55.0,79,56.42857142857143,1.5573018695718814,1.5187729892249988,1.082346718411306,1.1134581207046277,67,25,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q2,LOW,123,119,62,57,0,4,52.10084033613445,61,49.59349593495935,0.9065608708587484,1.0274254421678897,0.6626678091973864,0.8026954712119734,73,25,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q2,MODERATE,426,419,219,200,0,7,52.2673031026253,210,49.29577464788732,1.139223613376788,1.0946170019227086,0.8849869831475198,0.8214282887803268,104,25,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q3,EXTREME,355,347,157,190,8,0,45.24495677233429,144,40.563380281690144,1.5100038589156324,1.6991883889785167,1.147005444646107,1.262786951268628,93,63,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q3,LOW,331,313,134,179,0,18,42.81150159744409,149,45.01510574018127,0.9319866029398215,1.1009517573385055,0.6757594544327361,0.8164710141836059,101,63,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q3,MODERATE,939,930,452,478,1,8,48.60215053763441,392,41.746538871139514,1.0961462438528329,1.1235188619871426,0.8260337900226997,0.8313447771534017,110,64,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q4,EXTREME,300,294,135,159,4,2,45.91836734693877,127,42.333333333333336,1.7835886581559248,1.8095786663679125,1.2994946673360286,1.3447959979247293,93,63,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
2025Q4,LOW,359,343,176,167,0,16,51.31195335276968,167,46.51810584958217,1.2072363708455718,1.1408057481415352,0.780454871513558,0.730218855218861,110,63,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
