research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,level_family
VALIDATION,C2_CLOSED_BEYOND,4,4,3,1,0,0,75.0,25.0,0.7884036977191375,4.334877339677361,0.5845684651681076,2.006293132932117,4,4,BEAR,AH
VALIDATION,FAILED_BREAK,106,106,48,58,0,0,45.283018867924525,44.339622641509436,1.6268347458667967,1.510868411098171,1.1654301998901122,1.160032818896204,61,76,BEAR,AH
VALIDATION,NOT_CLEARED,728,711,351,360,6,11,49.36708860759494,47.8021978021978,1.6692361655782328,1.4765239737612237,1.1564841788868971,1.023535466436074,112,146,BEAR,AH
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,822,804,402,402,14,4,50.0,48.90510948905109,1.8030364777703618,1.5089237083734248,1.2279244661571314,1.0694952987343949,111,149,BULL,AH
VALIDATION,C1_BREAK_HELD_THROUGH_C2,263,259,128,131,4,0,49.42084942084942,46.38783269961977,1.592525104006729,1.4257190778997426,1.1769771781254388,1.073695261424913,95,124,BULL,AH
VALIDATION,C2_BREAK,226,217,104,113,8,1,47.92626728110599,41.5929203539823,1.5267180985892217,1.5416555981280657,1.1527887235871943,1.2087066175124748,96,112,BULL,AH
VALIDATION,C2_CLOSED_BEYOND,2,2,2,0,0,0,100.0,50.0,2.7992234520570576,0.8639074394701396,2.7992234520570576,0.8639074394701396,2,2,BULL,AH
VALIDATION,FAILED_BREAK,85,83,42,41,2,0,50.602409638554214,45.88235294117647,1.5244627289132515,1.5862330088534804,0.972590627763049,1.2470751702098215,61,63,BULL,AH
VALIDATION,NOT_CLEARED,720,698,326,372,15,7,46.70487106017192,46.52777777777778,1.7029940139700745,1.6394829931508632,1.1569523015701133,1.163263822786218,111,147,BULL,AH
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,595,582,309,273,5,8,53.09278350515464,43.36134453781513,1.420653683035749,1.4491429353093683,1.0937205841772817,1.0700626576613212,111,141,ALL,PD
