research_period,cross_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,FAVORABLE_CROSS,242,230,118,112,12,0,51.30434782608695,115,47.52066115702479,1.883127985805686,1.7715425094330712,1.2026711091136701,1.261366884231693,94,126,BULL,price_sma50_cross_state
VALIDATION,FAVORABLE_HOLD,1591,1560,756,804,21,10,48.46153846153846,740,46.51162790697674,1.7261258240495894,1.5255142964029655,1.205913934087723,1.1097020933977408,112,161,BULL,price_sma50_cross_state
VALIDATION,OPPOSING_HOLD,317,305,139,166,10,2,45.57377049180328,146,46.056782334384856,1.465069406099713,1.5656588048753648,1.0011507479861963,1.1480214948705396,105,126,BULL,price_sma50_cross_state
DISCOVERY,ADVERSE_CROSS,11,10,4,6,0,1,40.0,5,45.45454545454545,0.9999693502619796,0.8527189718869326,0.5409324645341085,0.6571087216248507,9,11,ALL,ema9_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,541,529,263,266,2,10,49.716446124763706,242,44.73197781885398,1.2884911331233602,1.1684164588040633,0.9590699927343134,0.864680636202982,110,154,ALL,ema9_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,2724,2665,1386,1279,10,49,52.00750469043152,1276,46.84287812041116,1.3372670597493064,1.2686531142282278,0.9592540267930938,0.8988900216667768,112,161,ALL,ema9_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,991,968,479,489,2,21,49.48347107438016,461,46.51866801210898,1.18219899289978,1.2147905492433226,0.8131130614352179,0.8473917437611781,112,160,ALL,ema9_ema20_cross_state
DISCOVERY,UNKNOWN,5,5,2,3,0,0,40.0,1,20.0,0.7261482666584944,0.7857654531054129,0.3646241190289764,0.6876468285043075,5,1,ALL,ema9_ema20_cross_state
VALIDATION,ADVERSE_CROSS,9,9,5,4,0,0,55.55555555555556,7,77.77777777777777,1.2339955192877858,1.3753268031418608,0.9573396036278138,1.3523883412974114,9,9,ALL,ema9_ema20_cross_state
VALIDATION,FAVORABLE_CROSS,535,522,262,260,10,3,50.191570881226056,259,48.41121495327103,1.7817077144190197,1.682344732833219,1.2633884452042037,1.2533819225884721,107,152,ALL,ema9_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,2638,2581,1281,1300,36,21,49.63192561022859,1241,47.043214556482184,1.7127309928124967,1.5253159540139731,1.202600584374311,1.1027864600421171,112,161,ALL,ema9_ema20_cross_state
VALIDATION,OPPOSING_HOLD,1003,976,466,510,23,4,47.74590163934426,469,46.759720837487535,1.5070009033359058,1.5535886562326218,1.0835150918173446,1.073695261424913,112,161,ALL,ema9_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,4,4,2,2,0,0,50.0,1,25.0,0.6439825399417312,0.7441779105094343,0.6171534433610426,0.48556549600051846,3,4,BEAR,ema9_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,266,257,119,138,2,7,46.30350194552529,120,45.11278195488722,1.3121778659697663,1.2170894483780896,0.9263705918970009,0.9158390270393661,97,124,BEAR,ema9_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,1403,1373,693,680,8,22,50.47341587764021,628,44.76122594440485,1.3312509736404168,1.2979859033236154,0.959595959595966,0.9286670181272525,112,161,BEAR,ema9_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,497,487,239,248,1,9,49.07597535934291,242,48.69215291750503,1.2424232056872004,1.2191654090335204,0.8308697681655564,0.9161250872145347,110,152,BEAR,ema9_ema20_cross_state
DISCOVERY,UNKNOWN,2,2,0,2,0,0,0.0,0,0.0,0.1953851818453881,1.3692254965658943,0.1953851818453881,1.3692254965658943,2,1,BEAR,ema9_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,7,6,2,4,0,1,33.333333333333336,4,57.142857142857146,1.2033903847306928,0.9147424355312174,0.4970131421744287,0.6571087216248507,6,7,BULL,ema9_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,275,272,144,128,0,3,52.94117647058823,122,44.36363636363637,1.2655796024428367,1.1213364034342779,0.9707766212970365,0.8288253477589022,93,127,BULL,ema9_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,1321,1292,693,599,2,27,53.637770897832816,648,49.05374716124148,1.34365658950765,1.2374995161201061,0.9549312853678329,0.8686210640607978,112,159,BULL,ema9_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,494,481,240,241,1,12,49.896049896049895,219,44.33198380566802,1.121609046026606,1.2103891214786906,0.8071718216005785,0.7695753755628879,111,148,BULL,ema9_ema20_cross_state
DISCOVERY,UNKNOWN,3,3,2,1,0,0,66.66666666666667,1,33.333333333333336,1.0799903232005652,0.3967920907984251,1.4438056786764348,0.2676087242726147,3,1,BULL,ema9_ema20_cross_state
VALIDATION,ADVERSE_CROSS,4,4,1,3,0,0,25.0,2,50.0,1.0283544500255513,1.2269107646394406,0.9633223412248442,1.1795338653051974,4,4,BEAR,ema9_ema20_cross_state
VALIDATION,FAVORABLE_CROSS,270,266,130,136,2,2,48.87218045112782,131,48.51851851851852,1.674637542747369,1.606780645973463,1.1672406607788524,1.154112575502253,98,120,BEAR,ema9_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,1296,1265,636,629,19,12,50.276679841897234,610,47.0679012345679,1.6874207405646904,1.572294479918924,1.1788868428715553,1.137160013975735,112,161,BEAR,ema9_ema20_cross_state
VALIDATION,OPPOSING_HOLD,462,455,232,223,5,2,50.989010989010985,230,49.78354978354978,1.4713560671272905,1.4384874496928814,1.1553936615144378,0.9943217921932848,107,145,BEAR,ema9_ema20_cross_state
VALIDATION,ADVERSE_CROSS,5,5,4,1,0,0,80.0,5,100.0,1.3985083746975737,1.4940596339437973,0.9573396036278138,1.5451797111185785,5,5,BULL,ema9_ema20_cross_state
VALIDATION,FAVORABLE_CROSS,265,256,132,124,8,1,51.5625,128,48.301886792452834,1.8907980780090037,1.7593345571808954,1.2980286796361606,1.3798037612428542,96,124,BULL,ema9_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,1342,1316,645,671,17,9,49.01215805471124,631,47.0193740685544,1.7371736805272189,1.4799477203531564,1.2235761594565098,1.0657249953134587,112,161,BULL,ema9_ema20_cross_state
VALIDATION,OPPOSING_HOLD,541,521,234,287,18,2,44.91362763915547,239,44.177449168207026,1.5374406710408604,1.6518821080281116,0.9778755653343135,1.1610015386767358,110,147,BULL,ema9_ema20_cross_state
