symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,pm_directional_level,ah_directional_level,pd_directional_level,ema9,ema20,c2_vwap,a47_structural_center_price,a47_center_to_ema9_abs_pct,a47_center_to_ema20_abs_pct,a47_center_to_vwap_abs_pct,a47_center_to_nearest_tech_abs_pct,a47_center_to_mean_tech_abs_pct
PLTR,2025-07-30,BULL,AE2_RECLAIM,2,2025-07-30 13:31:00+00:00,157.5,156.44,160.14,157.54374420993628,157.25419418540542,158.10260248872697,158.02666666666667,0.3055955472053614,0.4888241317464857,0.04805253674082555,0.04805253674082555,0.2808240718975576
PLTR,2025-08-04,BULL,AE2_RECLAIM,2,2025-08-04 13:31:00+00:00,158.79,155.29,158.19,158.89630535239033,158.39675099814616,159.62977221590265,157.42333333333332,0.9356757907915032,0.6183439546103983,1.4015958345243167,0.6183439546103983,0.9852051933087393
PLTR,2025-08-06,BULL,AE2_RECLAIM,2,2025-08-06 13:31:00+00:00,174.7,173.35,176.33,172.28425227771677,172.0834946374,172.69453975333047,174.79333333333332,1.435455808163859,1.5503100972195627,1.2007286204677037,1.2007286204677037,1.3954981752837086
PLTR,2025-08-07,BEAR,AE2_RECLAIM,2,2025-08-07 13:31:00+00:00,180.54,178.71,171.01,180.75276838679667,180.89246149995904,180.37923985550472,176.75333333333333,2.2627211481895735,2.3417539508688434,2.051393574192693,2.051393574192693,2.218622891083703
PLTR,2025-08-08,BULL,AE2_RECLAIM,2,2025-08-08 13:31:00+00:00,185.0,183.01,184.48,184.79284246002314,184.44935466045655,185.3175990873287,184.16333333333333,0.3418210972269966,0.15530850899919776,0.6267619797618206,0.15530850899919776,0.37463052866267166
PLTR,2025-08-14,BULL,AE2_RECLAIM,2,2025-08-14 13:31:00+00:00,185.5,185.0,189.46,182.57388042985204,182.40127077300335,183.0904342751745,186.65333333333334,2.1855773109586205,2.278053375417881,1.9088322691757527,1.9088322691757527,2.124154318517418
PLTR,2025-08-15,BEAR,AE2_RECLAIM,2,2025-08-15 13:31:00+00:00,179.27,180.5,179.2,179.22029367246907,179.65573645009732,178.65256500525646,179.65666666666667,0.24289273662593333,0.0005177745900573934,0.5589003069244318,0.0005177745900573934,0.26743693938014085
PLTR,2025-08-18,BULL,AE2_RECLAIM,2,2025-08-18 13:31:00+00:00,178.36,177.41,180.0,175.71889832561735,175.13538822890266,176.91746528795377,178.59,1.6076497420811118,1.9343814161472355,0.9365220404536809,0.9365220404536809,1.4928510662273429
PLTR,2025-08-20,BULL,AE2_RECLAIM,2,2025-08-20 13:31:00+00:00,157.01,158.24,172.3,152.53491585620543,152.4499284716606,153.014374636343,162.51666666666668,6.141985936085273,6.194280501490768,5.846964637672243,5.846964637672243,6.061077025082761
PLTR,2025-08-21,BEAR,AE2_RECLAIM,2,2025-08-21 13:31:00+00:00,154.3,155.92,142.34,155.72675569604482,155.52380633616596,155.58211428642014,150.85333333333335,3.2305698886632483,3.0960356656571113,3.134687745107908,3.0960356656571113,3.1537644331427557
PLTR,2025-08-25,BEAR,AE2_RECLAIM,2,2025-08-25 13:31:00+00:00,155.6054,158.38,151.77,155.44914399700366,155.83125457055115,154.84527690024453,155.2518,0.12711221190585653,0.37323533160398115,0.26184759194771007,0.12711221190585653,0.25406504515251593
